Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,296.08,69.643,3.67E-04
0.02,296.101,69.643,3.67E-04
0.04,296.144,69.582,3.67E-04
0.06,296.188,69.582,3.67E-04
0.08,296.166,69.582,3.67E-04
0.1,296.188,69.643,3.67E-04
0.12,296.188,69.643,3.67E-04
0.14,296.231,69.643,3.67E-04
0.16,296.274,69.643,3.67E-04
0.18,296.252,69.765,3.67E-04
0.2,296.425,69.826,3.66E-04
0.22,296.382,69.826,3.66E-04
0.24,296.425,69.704,3.66E-04
0.26,296.446,69.765,3.66E-04
0.28,296.425,69.765,3.66E-04
0.3,296.446,69.704,3.66E-04
0.32,296.425,69.826,3.66E-04
0.34,296.425,69.704,3.66E-04
0.36,296.489,69.765,3.66E-04
0.38,296.489,69.826,3.66E-04
0.4,296.511,69.826,3.66E-04
0.42,296.576,70.009,3.66E-04
0.44,296.619,70.132,3.65E-04
0.46,296.727,70.132,3.65E-04
0.48,296.77,70.254,3.64E-04
0.5,296.856,70.315,3.64E-04
0.52,296.942,70.437,3.64E-04
0.54,297.028,70.498,3.63E-04
0.56,297.115,70.62,3.63E-04
0.58,297.179,70.62,3.62E-04
0.6,297.244,70.681,3.62E-04
0.62,297.33,70.742,3.61E-04
0.64,297.46,70.864,3.61E-04
0.66,297.503,71.047,3.61E-04
0.68,297.567,71.047,3.61E-04
0.7,297.632,71.047,3.60E-04
0.72,297.632,71.108,3.60E-04
0.74,297.632,71.047,3.60E-04
0.76,297.654,70.925,3.60E-04
0.78,297.632,71.047,3.60E-04
0.8,297.632,70.986,3.60E-04
0.82,297.632,70.986,3.60E-04
0.84,297.632,71.047,3.60E-04
0.86,297.632,71.047,3.60E-04
0.88,297.611,71.047,3.60E-04
0.9,297.632,71.169,3.60E-04
0.92,297.697,71.23,3.59E-04
0.94,297.783,71.291,3.59E-04
0.96,297.826,71.291,3.59E-04
0.98,297.912,71.352,3.58E-04
1,297.956,71.352,3.58E-04
1.02,297.977,71.474,3.58E-04
1.04,297.956,71.474,3.58E-04
1.06,297.956,71.413,3.58E-04
1.08,297.977,71.352,3.58E-04
1.1,297.956,71.413,3.58E-04
1.12,297.934,71.413,3.58E-04
1.14,297.912,71.413,3.58E-04
1.16,297.934,71.23,3.58E-04
1.18,297.891,71.352,3.58E-04
1.2,297.891,71.413,3.58E-04
1.22,297.848,71.291,3.58E-04
1.24,297.848,71.413,3.58E-04
