Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
1.26,297.826,71.413,3.58E-04
1.28,297.826,71.352,3.58E-04
1.3,297.826,71.413,3.58E-04
1.32,297.805,71.413,3.58E-04
1.34,297.869,71.535,3.58E-04
1.36,297.912,71.596,3.57E-04
1.38,297.956,71.596,3.57E-04
1.4,297.977,71.657,3.57E-04
1.42,298.042,71.718,3.56E-04
1.44,298.107,71.78,3.56E-04
1.46,298.15,71.841,3.56E-04
1.48,298.15,71.718,3.56E-04
1.5,298.15,71.78,3.56E-04
1.52,298.15,71.78,3.56E-04
1.54,298.15,71.718,3.56E-04
1.56,298.128,71.78,3.56E-04
1.58,298.128,71.78,3.56E-04
1.6,298.107,71.718,3.56E-04
1.62,298.107,71.718,3.56E-04
1.64,298.085,71.78,3.56E-04
1.66,298.107,71.902,3.55E-04
1.68,298.15,71.963,3.55E-04
1.7,298.236,72.146,3.54E-04
1.72,298.279,72.207,3.54E-04
1.74,298.322,72.207,3.54E-04
1.76,298.344,72.268,3.54E-04
1.78,298.344,72.268,3.53E-04
1.8,298.365,72.268,3.53E-04
1.82,298.365,72.268,3.53E-04
1.84,298.387,72.268,3.53E-04
1.86,298.344,72.207,3.53E-04
1.88,298.322,72.268,3.53E-04
1.9,298.322,72.268,3.53E-04
1.92,298.322,72.268,3.53E-04
1.94,298.322,72.268,3.53E-04
1.96,298.322,72.146,3.53E-04
1.98,298.322,72.207,3.53E-04
2,298.279,72.207,3.53E-04
2.02,298.236,72.207,3.53E-04
2.04,298.214,72.268,3.53E-04
2.06,298.193,72.268,3.53E-04
2.08,298.236,72.268,3.53E-04
2.1,298.322,72.451,3.52E-04
2.12,298.344,72.512,3.52E-04
2.14,298.451,72.573,3.51E-04
2.16,298.495,72.695,3.51E-04
2.18,298.559,72.756,3.51E-04
2.2,298.602,72.634,3.51E-04
2.22,298.624,72.756,3.51E-04
2.24,298.602,72.695,3.51E-04
2.26,298.559,72.634,3.51E-04
2.28,298.495,72.695,3.51E-04
2.3,298.516,72.695,3.51E-04
2.32,298.495,72.695,3.51E-04
2.34,298.473,72.634,3.51E-04
2.36,298.495,72.573,3.51E-04
2.38,298.495,72.695,3.50E-04
2.4,298.495,72.817,3.50E-04
2.42,298.602,72.878,3.50E-04
2.44,298.646,72.939,3.49E-04
2.46,298.667,72.939,3.49E-04
2.48,298.667,73.061,3.49E-04
2.5,298.71,73.122,3.49E-04
2.52,298.667,73.061,3.49E-04
2.54,298.689,73.183,3.49E-04
2.56,298.796,73.183,3.48E-04
2.58,298.796,73.183,3.48E-04
2.6,298.84,73.122,3.48E-04
2.62,298.818,73.244,3.48E-04
2.64,298.818,73.244,3.48E-04
2.66,298.775,73.183,3.48E-04
2.68,298.753,73.183,3.48E-04
2.7,298.689,73.183,3.48E-04
2.72,298.667,73.183,3.48E-04
2.74,298.667,73.244,3.48E-04
2.76,298.667,73.183,3.48E-04
2.78,298.667,73.183,3.48E-04
2.8,298.646,73.122,3.48E-04
2.82,298.624,73.244,3.48E-04
2.84,298.646,73.244,3.48E-04
2.86,298.667,73.305,3.47E-04
2.88,298.667,73.428,3.47E-04
2.9,298.732,73.489,3.47E-04
2.92,298.775,73.489,3.46E-04
2.94,298.796,73.611,3.46E-04
2.96,298.796,73.55,3.46E-04
2.98,298.818,73.489,3.46E-04
3,298.796,73.489,3.46E-04
3.02,298.775,73.55,3.46E-04
3.04,298.753,73.55,3.46E-04
3.06,298.689,73.55,3.46E-04
3.08,298.667,73.55,3.46E-04
3.1,298.667,73.489,3.46E-04
3.12,298.667,73.55,3.46E-04
3.14,298.646,73.489,3.46E-04
3.16,298.624,73.489,3.46E-04
3.18,298.624,73.366,3.46E-04
3.2,298.581,73.489,3.46E-04
3.22,298.516,73.489,3.46E-04
3.24,298.516,73.489,3.46E-04
3.26,298.516,73.489,3.46E-04
3.28,298.495,73.428,3.46E-04
3.3,298.495,73.489,3.46E-04
3.32,298.495,73.428,3.46E-04
3.34,298.495,73.55,3.46E-04
3.36,298.516,73.611,3.45E-04
3.38,298.602,73.794,3.45E-04
3.4,298.667,73.916,3.44E-04
3.42,298.753,74.099,3.44E-04
3.44,298.84,74.16,3.44E-04
3.46,298.84,74.16,3.43E-04
3.48,298.883,74.221,3.43E-04
3.5,298.926,74.282,3.43E-04
3.52,298.947,74.221,3.43E-04
3.54,298.969,74.282,3.42E-04
3.56,298.991,74.282,3.42E-04
3.58,299.012,74.343,3.42E-04
3.6,299.034,74.404,3.42E-04
3.62,299.034,74.465,3.42E-04
3.64,299.077,74.465,3.42E-04
3.66,299.077,74.526,3.41E-04
3.68,299.012,74.465,3.42E-04
3.7,299.012,74.404,3.41E-04
3.72,299.012,74.465,3.42E-04
3.74,298.969,74.465,3.42E-04
3.76,298.926,74.465,3.42E-04
3.78,298.904,74.404,3.42E-04
3.8,298.904,74.404,3.42E-04
3.82,298.84,74.465,3.42E-04
3.84,298.84,74.465,3.42E-04
3.86,298.84,74.404,3.42E-04
3.88,298.84,74.404,3.41E-04
3.9,298.818,74.343,3.41E-04
3.92,298.796,74.526,3.41E-04
3.94,298.818,74.587,3.41E-04
3.96,298.84,74.526,3.41E-04
3.98,298.861,74.587,3.40E-04
4,298.926,74.648,3.40E-04
4.02,299.012,74.709,3.40E-04
4.04,299.012,74.77,3.39E-04
4.06,299.034,74.953,3.39E-04
4.08,299.163,74.953,3.39E-04
4.1,299.185,74.953,3.38E-04
4.12,299.206,75.137,3.38E-04
4.14,299.314,75.137,3.38E-04
4.16,299.336,75.137,3.37E-04
4.18,299.357,75.32,3.37E-04
4.2,299.357,75.198,3.37E-04
4.22,299.357,75.198,3.37E-04
4.24,299.379,75.381,3.37E-04
4.26,299.357,75.442,3.37E-04
4.28,299.379,75.381,3.36E-04
4.3,299.4,75.442,3.36E-04
4.32,299.4,75.442,3.36E-04
4.34,299.379,75.503,3.36E-04
4.36,299.486,75.564,3.35E-04
4.38,299.486,75.625,3.35E-04
4.4,299.53,75.686,3.35E-04
4.42,299.53,75.625,3.35E-04
4.44,299.53,75.747,3.35E-04
4.46,299.53,75.808,3.34E-04
4.48,299.551,75.869,3.34E-04
4.5,299.573,75.869,3.34E-04
4.52,299.551,75.991,3.34E-04
4.54,299.616,75.991,3.34E-04
4.56,299.637,75.991,3.33E-04
4.58,299.616,76.052,3.33E-04
4.6,299.637,76.174,3.33E-04
4.62,299.616,76.113,3.33E-04
4.64,299.594,76.113,3.33E-04
4.66,299.573,76.052,3.33E-04
4.68,299.53,76.113,3.33E-04
4.7,299.53,76.113,3.33E-04
4.72,299.53,76.113,3.33E-04
4.74,299.53,76.235,3.33E-04
4.76,299.53,76.174,3.32E-04
4.78,299.573,76.296,3.32E-04
4.8,299.594,76.174,3.32E-04
4.82,299.616,76.296,3.32E-04
4.84,299.637,76.296,3.31E-04
4.86,299.637,76.418,3.31E-04
4.88,299.637,76.479,3.31E-04
4.9,299.637,76.418,3.31E-04
4.92,299.616,76.479,3.31E-04
4.94,299.594,76.479,3.31E-04
4.96,299.594,76.418,3.31E-04
4.98,299.53,76.479,3.31E-04
5,299.53,76.418,3.31E-04
5.02,299.53,76.479,3.31E-04
5.04,299.53,76.418,3.31E-04
5.06,299.486,76.479,3.31E-04
5.08,299.422,76.479,3.31E-04
5.1,299.379,76.418,3.31E-04
5.12,299.357,76.418,3.31E-04
5.14,299.357,76.357,3.31E-04
5.16,299.336,76.357,3.31E-04
5.18,299.314,76.296,3.31E-04
5.2,299.249,76.357,3.31E-04
5.22,299.206,76.418,3.31E-04
5.24,299.185,76.357,3.31E-04
5.26,299.185,76.296,3.31E-04
5.28,299.185,76.357,3.31E-04
5.3,299.12,76.418,3.31E-04
5.32,299.034,76.418,3.31E-04
5.34,299.012,76.296,3.31E-04
5.36,299.012,76.296,3.31E-04
5.38,299.012,76.418,3.31E-04
5.4,298.991,76.357,3.30E-04
5.42,299.034,76.479,3.30E-04
5.44,299.055,76.479,3.30E-04
5.46,299.077,76.601,3.30E-04
5.48,299.12,76.601,3.30E-04
5.5,299.141,76.662,3.29E-04
5.52,299.185,76.662,3.29E-04
5.54,299.185,76.724,3.29E-04
5.56,299.185,76.724,3.29E-04
5.58,299.185,76.662,3.29E-04
5.6,299.185,76.724,3.29E-04
5.62,299.185,76.846,3.29E-04
5.64,299.185,76.785,3.28E-04
5.66,299.185,76.785,3.28E-04
5.68,299.185,76.907,3.28E-04
5.7,299.185,76.907,3.28E-04
5.72,299.185,76.907,3.28E-04
5.74,299.185,76.968,3.28E-04
5.76,299.185,77.09,3.28E-04
5.78,299.185,77.029,3.28E-04
5.8,299.185,77.029,3.27E-04
5.82,299.185,77.029,3.27E-04
5.84,299.185,77.09,3.27E-04
5.86,299.185,77.09,3.27E-04
5.88,299.185,77.09,3.27E-04
5.9,299.185,77.09,3.27E-04
5.92,299.185,77.151,3.27E-04
5.94,299.185,77.151,3.26E-04
5.96,299.185,77.151,3.27E-04
5.98,299.185,77.09,3.27E-04
6,299.141,77.151,3.27E-04
6.02,299.077,77.151,3.27E-04
6.04,299.012,77.151,3.27E-04
6.06,299.012,77.151,3.26E-04
6.08,298.969,77.151,3.27E-04
6.1,298.991,77.151,3.27E-04
6.12,298.947,77.151,3.26E-04
6.14,298.883,77.151,3.26E-04
6.16,298.883,77.151,3.26E-04
6.18,298.904,77.151,3.26E-04
6.2,298.904,77.212,3.26E-04
6.22,298.947,77.212,3.26E-04
6.24,298.969,77.395,3.26E-04
6.26,299.012,77.395,3.25E-04
6.28,299.012,77.456,3.25E-04
6.3,299.012,77.456,3.25E-04
6.32,299.034,77.517,3.25E-04
6.34,299.098,77.578,3.25E-04
6.36,299.098,77.517,3.25E-04
6.38,299.098,77.639,3.24E-04
6.4,299.185,77.639,3.24E-04
6.42,299.141,77.578,3.24E-04
6.44,299.163,77.639,3.24E-04
6.46,299.163,77.639,3.24E-04
6.48,299.141,77.7,3.24E-04
6.5,299.141,77.761,3.24E-04
6.52,299.163,77.7,3.24E-04
6.54,299.185,77.761,3.23E-04
6.56,299.163,77.822,3.23E-04
6.58,299.185,77.822,3.23E-04
6.6,299.185,77.822,3.23E-04
6.62,299.163,77.944,3.23E-04
6.64,299.141,78.005,3.23E-04
6.66,299.185,77.944,3.23E-04
6.68,299.163,78.005,3.23E-04
6.7,299.185,78.127,3.22E-04
6.72,299.163,78.066,3.22E-04
6.74,299.163,78.127,3.22E-04
6.76,299.185,78.066,3.22E-04
6.78,299.185,78.127,3.22E-04
6.8,299.12,78.127,3.22E-04
6.82,299.12,78.127,3.22E-04
6.84,299.141,78.127,3.22E-04
6.86,299.12,78.127,3.22E-04
6.88,299.12,78.127,3.22E-04
6.9,299.12,78.188,3.22E-04
6.92,299.141,78.188,3.21E-04
6.94,299.12,78.188,3.21E-04
6.96,299.185,78.249,3.21E-04
6.98,299.185,78.372,3.21E-04
7,299.163,78.249,3.21E-04
7.02,299.185,78.372,3.21E-04
7.04,299.185,78.31,3.21E-04
7.06,299.185,78.433,3.20E-04
7.08,299.185,78.372,3.20E-04
7.1,299.185,78.433,3.20E-04
7.12,299.185,78.494,3.20E-04
7.14,299.206,78.555,3.20E-04
7.16,299.206,78.616,3.20E-04
7.18,299.206,78.555,3.19E-04
7.2,299.249,78.616,3.19E-04
7.22,299.271,78.677,3.19E-04
7.24,299.314,78.738,3.19E-04
7.26,299.314,78.677,3.19E-04
7.28,299.357,78.86,3.18E-04
7.3,299.357,78.921,3.18E-04
7.32,299.357,78.982,3.18E-04
7.34,299.379,79.043,3.18E-04
7.36,299.379,79.043,3.18E-04
7.38,299.4,78.982,3.18E-04
7.4,299.422,78.982,3.18E-04
7.42,299.357,79.043,3.18E-04
7.44,299.357,79.043,3.18E-04
7.46,299.336,78.982,3.18E-04
7.48,299.336,79.043,3.18E-04
7.5,299.292,79.104,3.18E-04
7.52,299.271,78.982,3.18E-04
7.54,299.228,78.982,3.18E-04
7.56,299.185,79.043,3.18E-04
7.58,299.185,78.982,3.18E-04
7.6,299.163,78.982,3.18E-04
7.62,299.185,78.982,3.18E-04
7.64,299.163,78.921,3.18E-04
7.66,299.098,78.921,3.18E-04
7.68,299.055,78.982,3.17E-04
7.7,299.098,78.982,3.17E-04
7.72,299.034,79.104,3.17E-04
7.74,299.163,79.043,3.17E-04
7.76,299.185,79.104,3.16E-04
7.78,299.185,79.226,3.16E-04
7.8,299.228,79.287,3.16E-04
7.82,299.271,79.409,3.16E-04
7.84,299.314,79.47,3.15E-04
7.86,299.357,79.47,3.15E-04
7.88,299.357,79.531,3.15E-04
7.9,299.357,79.47,3.15E-04
7.92,299.4,79.592,3.15E-04
7.94,299.465,79.592,3.14E-04
7.96,299.486,79.653,3.14E-04
7.98,299.508,79.714,3.14E-04
8,299.508,79.775,3.14E-04
8.02,299.508,79.836,3.14E-04
8.04,299.53,79.897,3.14E-04
8.06,299.53,79.958,3.14E-04
8.08,299.486,79.775,3.14E-04
8.1,299.486,79.775,3.14E-04
8.12,299.422,79.836,3.14E-04
8.14,299.443,79.897,3.14E-04
8.16,299.357,79.836,3.14E-04
8.18,299.357,79.836,3.14E-04
8.2,299.357,79.714,3.13E-04
8.22,299.314,79.775,3.14E-04
8.24,299.292,79.836,3.13E-04
8.26,299.292,79.775,3.13E-04
8.28,299.228,79.836,3.13E-04
8.3,299.206,79.836,3.14E-04
8.32,299.185,79.714,3.13E-04
8.34,299.185,79.714,3.14E-04
8.36,299.185,79.714,3.13E-04
8.38,299.185,79.714,3.13E-04
8.4,299.12,79.653,3.13E-04
8.42,299.034,79.714,3.14E-04
8.44,299.012,79.714,3.14E-04
8.46,298.991,79.775,3.13E-04
8.48,298.969,79.714,3.14E-04
8.5,298.991,79.775,3.13E-04
8.52,298.926,79.714,3.13E-04
8.54,298.991,79.836,3.13E-04
8.56,298.991,79.836,3.13E-04
8.58,299.012,79.897,3.13E-04
8.6,299.034,79.958,3.13E-04
8.62,299.034,79.958,3.12E-04
8.64,299.055,80.081,3.12E-04
8.66,299.141,80.081,3.12E-04
8.68,299.163,80.142,3.12E-04
8.7,299.185,80.142,3.11E-04
8.72,299.185,80.142,3.11E-04
8.74,299.206,80.264,3.11E-04
8.76,299.228,80.325,3.11E-04
8.78,299.206,80.203,3.11E-04
8.8,299.228,80.386,3.11E-04
8.82,299.271,80.447,3.11E-04
8.84,299.271,80.447,3.10E-04
8.86,299.314,80.447,3.10E-04
8.88,299.314,80.447,3.10E-04
8.9,299.336,80.569,3.10E-04
8.92,299.336,80.447,3.10E-04
8.94,299.336,80.508,3.10E-04
8.96,299.336,80.569,3.10E-04
8.98,299.314,80.508,3.09E-04
9,299.314,80.508,3.09E-04
9.02,299.314,80.569,3.09E-04
9.04,299.314,80.569,3.09E-04
9.06,299.292,80.569,3.09E-04
9.08,299.292,80.63,3.09E-04
9.1,299.292,80.691,3.09E-04
9.12,299.271,80.63,3.09E-04
9.14,299.249,80.569,3.09E-04
9.16,299.185,80.63,3.09E-04
9.18,299.185,80.691,3.09E-04
9.2,299.185,80.63,3.09E-04
9.22,299.185,80.569,3.09E-04
9.24,299.185,80.569,3.09E-04
9.26,299.141,80.569,3.09E-04
9.28,299.077,80.569,3.09E-04
9.3,299.077,80.63,3.09E-04
9.32,299.12,80.752,3.08E-04
9.34,299.185,80.813,3.08E-04
9.36,299.185,80.996,3.08E-04
9.38,299.314,80.996,3.07E-04
9.4,299.336,81.057,3.07E-04
9.42,299.357,81.057,3.07E-04
9.44,299.357,81.057,3.07E-04
9.46,299.357,81.118,3.07E-04
9.48,299.357,81.179,3.07E-04
9.5,299.357,81.179,3.07E-04
9.52,299.357,81.179,3.07E-04
9.54,299.357,81.057,3.07E-04
9.56,299.357,81.118,3.07E-04
9.58,299.357,81.057,3.07E-04
9.6,299.314,81.118,3.07E-04
9.62,299.249,81.057,3.07E-04
9.64,299.228,81.179,3.07E-04
9.66,299.185,80.996,3.07E-04
9.68,299.185,81.118,3.07E-04
9.7,299.185,81.179,3.07E-04
9.72,299.163,81.057,3.07E-04
9.74,299.141,81.118,3.07E-04
9.76,299.077,81.057,3.07E-04
9.78,299.012,81.057,3.07E-04
9.8,299.012,81.118,3.07E-04
9.82,299.012,81.057,3.07E-04
9.84,298.991,81.057,3.07E-04
9.86,298.969,81.057,3.07E-04
9.88,298.947,81.057,3.07E-04
9.9,298.861,81.057,3.07E-04
9.92,298.883,81.057,3.07E-04
9.94,298.861,80.996,3.07E-04
9.96,298.84,80.996,3.07E-04
9.98,298.84,80.996,3.07E-04
10,298.818,80.996,3.07E-04
10.02,298.818,80.996,3.07E-04
10.04,298.818,81.057,3.07E-04
10.06,298.796,81.057,3.07E-04
10.08,298.796,81.118,3.07E-04
10.1,298.775,81.118,3.06E-04
10.12,298.84,81.24,3.06E-04
10.14,298.84,81.301,3.06E-04
10.16,298.904,81.362,3.05E-04
10.18,298.926,81.423,3.05E-04
10.2,298.969,81.484,3.05E-04
10.22,299.012,81.484,3.05E-04
10.24,298.991,81.545,3.05E-04
10.26,299.012,81.545,3.04E-04
10.28,299.12,81.606,3.04E-04
10.3,299.163,81.606,3.04E-04
10.32,299.185,81.729,3.04E-04
10.34,299.185,81.851,3.04E-04
10.36,299.185,81.851,3.04E-04
10.38,299.206,81.912,3.03E-04
10.4,299.185,82.034,3.03E-04
10.42,299.185,81.912,3.03E-04
10.44,299.228,81.973,3.03E-04
10.46,299.185,81.973,3.03E-04
10.48,299.206,82.034,3.03E-04
10.5,299.206,82.034,3.03E-04
10.52,299.228,82.034,3.03E-04
10.54,299.206,82.034,3.03E-04
10.56,299.228,82.034,3.03E-04
10.58,299.185,82.034,3.03E-04
10.6,299.206,82.034,3.02E-04
10.62,299.185,82.034,3.02E-04
10.64,299.185,82.034,3.02E-04
10.66,299.185,82.034,3.02E-04
10.68,299.163,81.973,3.02E-04
10.7,299.185,82.034,3.02E-04
10.72,299.098,82.034,3.03E-04
10.74,299.034,82.034,3.02E-04
10.76,299.012,82.034,3.02E-04
10.78,299.012,81.973,3.02E-04
10.8,299.012,82.034,3.02E-04
10.82,298.947,82.034,3.02E-04
10.84,298.947,82.034,3.02E-04
10.86,298.904,82.034,3.02E-04
10.88,298.969,82.095,3.02E-04
10.9,299.012,82.156,3.02E-04
10.92,299.012,82.339,3.01E-04
10.94,299.185,82.278,3.01E-04
10.96,299.185,82.461,3.01E-04
10.98,299.228,82.461,3.01E-04
11,299.249,82.461,3.00E-04
11.02,299.271,82.461,3.00E-04
11.04,299.249,82.461,3.00E-04
11.06,299.271,82.522,3.00E-04
11.08,299.228,82.522,3.00E-04
11.1,299.185,82.522,3.00E-04
11.12,299.185,82.461,3.00E-04
11.14,299.185,82.461,3.00E-04
11.16,299.163,82.522,3.00E-04
11.18,299.141,82.522,3.00E-04
11.2,299.12,82.4,3.00E-04
11.22,299.077,82.522,3.00E-04
11.24,299.141,82.522,3.00E-04
11.26,299.163,82.522,3.00E-04
11.28,299.185,82.644,3.00E-04
11.3,299.185,82.705,2.99E-04
11.32,299.206,82.827,2.99E-04
11.34,299.228,82.766,2.99E-04
11.36,299.206,82.888,2.99E-04
11.38,299.249,82.888,2.99E-04
11.4,299.271,82.827,2.99E-04
11.42,299.271,82.888,2.99E-04
11.44,299.292,82.949,2.99E-04
11.46,299.271,82.949,2.99E-04
11.48,299.249,82.949,2.98E-04
11.5,299.249,82.888,2.99E-04
11.52,299.206,82.888,2.98E-04
11.54,299.185,82.888,2.99E-04
11.56,299.185,82.949,2.99E-04
11.58,299.185,82.827,2.98E-04
11.6,299.163,82.949,2.99E-04
11.62,299.185,82.888,2.98E-04
11.64,299.141,82.949,2.98E-04
11.66,299.055,82.888,2.98E-04
11.68,299.077,82.827,2.99E-04
11.7,299.012,82.827,2.99E-04
11.72,298.991,82.888,2.98E-04
11.74,298.991,82.827,2.98E-04
11.76,298.969,82.827,2.98E-04
11.78,298.969,82.827,2.98E-04
11.8,298.883,82.888,2.98E-04
11.82,298.861,82.888,2.98E-04
11.84,298.947,82.949,2.98E-04
11.86,299.012,83.01,2.98E-04
11.88,299.034,83.01,2.97E-04
11.9,299.163,83.193,2.97E-04
11.92,299.185,83.254,2.97E-04
11.94,299.206,83.438,2.97E-04
11.96,299.271,83.377,2.96E-04
11.98,299.314,83.377,2.96E-04
12,299.357,83.438,2.96E-04
12.02,299.379,83.499,2.96E-04
12.04,299.4,83.621,2.95E-04
12.06,299.422,83.682,2.95E-04
12.08,299.465,83.743,2.95E-04
12.1,299.53,83.804,2.95E-04
12.12,299.53,83.743,2.95E-04
12.14,299.508,83.865,2.95E-04
12.16,299.53,83.865,2.95E-04
12.18,299.53,83.926,2.94E-04
12.2,299.53,83.865,2.94E-04
12.22,299.53,83.926,2.94E-04
12.24,299.53,83.926,2.94E-04
12.26,299.465,83.926,2.94E-04
12.28,299.443,83.865,2.94E-04
12.3,299.4,83.926,2.94E-04
12.32,299.357,83.926,2.94E-04
12.34,299.357,83.926,2.94E-04
12.36,299.357,83.865,2.94E-04
12.38,299.336,83.865,2.94E-04
12.4,299.336,83.865,2.94E-04
12.42,299.336,83.926,2.94E-04
12.44,299.292,83.865,2.94E-04
12.46,299.249,83.804,2.94E-04
12.48,299.206,83.804,2.94E-04
12.5,299.185,83.804,2.94E-04
12.52,299.185,83.926,2.94E-04
12.54,299.185,83.804,2.94E-04
12.56,299.163,83.804,2.94E-04
12.58,299.163,83.926,2.94E-04
12.6,299.141,83.804,2.94E-04
12.62,299.012,83.743,2.94E-04
12.64,299.055,83.804,2.94E-04
12.66,299.012,83.743,2.94E-04
12.68,299.012,83.743,2.94E-04
12.7,298.991,83.682,2.94E-04
12.72,298.969,83.743,2.94E-04
12.74,298.947,83.743,2.94E-04
12.76,298.926,83.743,2.94E-04
12.78,298.861,83.682,2.94E-04
12.8,298.861,83.743,2.94E-04
12.82,298.84,83.743,2.94E-04
12.84,298.84,83.682,2.94E-04
12.86,298.84,83.682,2.94E-04
12.88,298.84,83.804,2.94E-04
12.9,298.84,83.804,2.94E-04
12.92,298.818,83.804,2.94E-04
12.94,298.818,83.804,2.94E-04
12.96,298.861,83.987,2.94E-04
12.98,298.926,83.987,2.93E-04
13,298.969,84.048,2.93E-04
13.02,299.034,84.231,2.93E-04
13.04,299.141,84.292,2.92E-04
13.06,299.185,84.231,2.92E-04
13.08,299.185,84.353,2.92E-04
13.1,299.185,84.353,2.92E-04
13.12,299.249,84.353,2.92E-04
13.14,299.271,84.475,2.91E-04
13.16,299.314,84.475,2.91E-04
13.18,299.357,84.536,2.91E-04
13.2,299.357,84.597,2.91E-04
13.22,299.357,84.719,2.91E-04
13.24,299.379,84.719,2.90E-04
13.26,299.379,84.78,2.90E-04
13.28,299.379,84.719,2.90E-04
13.3,299.379,84.719,2.90E-04
13.32,299.357,84.658,2.90E-04
13.34,299.357,84.658,2.90E-04
13.36,299.357,84.658,2.90E-04
13.38,299.357,84.597,2.90E-04
13.4,299.271,84.597,2.90E-04
13.42,299.249,84.658,2.90E-04
13.44,299.206,84.536,2.90E-04
13.46,299.185,84.536,2.90E-04
13.48,299.206,84.658,2.90E-04
13.5,299.185,84.658,2.90E-04
13.52,299.185,84.658,2.90E-04
13.54,299.185,84.597,2.90E-04
13.56,299.141,84.597,2.90E-04
13.58,299.098,84.597,2.90E-04
13.6,299.055,84.658,2.90E-04
13.62,299.034,84.536,2.90E-04
13.64,299.012,84.536,2.90E-04
13.66,299.012,84.597,2.90E-04
13.68,299.012,84.475,2.90E-04
13.7,298.969,84.597,2.90E-04
13.72,298.969,84.658,2.90E-04
13.74,299.012,84.719,2.90E-04
13.76,299.012,84.78,2.90E-04
13.78,299.098,84.841,2.89E-04
13.8,299.185,84.902,2.89E-04
13.82,299.185,84.964,2.89E-04
13.84,299.185,84.902,2.89E-04
13.86,299.185,84.964,2.89E-04
13.88,299.228,85.025,2.89E-04
13.9,299.249,85.025,2.88E-04
13.92,299.292,85.025,2.88E-04
13.94,299.249,85.147,2.88E-04
13.96,299.292,85.208,2.88E-04
13.98,299.336,85.208,2.88E-04
14,299.357,85.269,2.88E-04
14.02,299.357,85.33,2.88E-04
14.04,299.357,85.33,2.87E-04
14.06,299.357,85.33,2.87E-04
14.08,299.357,85.391,2.87E-04
14.1,299.357,85.33,2.87E-04
14.12,299.314,85.391,2.87E-04
14.14,299.357,85.391,2.87E-04
14.16,299.314,85.33,2.87E-04
14.18,299.292,85.33,2.87E-04
14.2,299.271,85.33,2.87E-04
14.22,299.228,85.33,2.87E-04
14.24,299.206,85.33,2.87E-04
14.26,299.185,85.33,2.87E-04
14.28,299.185,85.269,2.87E-04
14.3,299.163,85.33,2.87E-04
14.32,299.185,85.33,2.87E-04
14.34,299.141,85.208,2.87E-04
14.36,299.077,85.269,2.87E-04
14.38,299.077,85.33,2.87E-04
14.4,299.012,85.33,2.87E-04
14.42,299.012,85.269,2.87E-04
14.44,298.947,85.269,2.87E-04
14.46,299.012,85.269,2.87E-04
14.48,298.991,85.33,2.87E-04
14.5,298.947,85.269,2.87E-04
14.52,298.947,85.33,2.87E-04
14.54,298.883,85.33,2.87E-04
14.56,298.861,85.269,2.87E-04
14.58,298.883,85.208,2.87E-04
14.6,298.84,85.269,2.87E-04
14.62,298.84,85.269,2.87E-04
14.64,298.84,85.269,2.87E-04
14.66,298.84,85.269,2.87E-04
14.68,298.883,85.33,2.87E-04
