Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,288.555,65.9,3.92E-04
0.02,288.662,65.9,3.92E-04
0.04,288.749,65.9,3.92E-04
0.06,288.835,66,3.92E-04
0.08,288.943,66,3.92E-04
0.1,289.007,65.9,3.92E-04
0.12,289.137,66,3.92E-04
0.14,289.18,66,3.92E-04
0.16,289.309,66.2,3.92E-04
0.18,289.46,66.3,3.91E-04
0.2,289.633,66.3,3.91E-04
0.22,289.848,66.4,3.90E-04
0.24,290.021,66.6,3.89E-04
0.26,290.28,66.9,3.88E-04
0.28,290.625,67.4,3.86E-04
0.3,291.142,67.9,3.83E-04
0.32,291.767,68.6,3.79E-04
0.34,292.457,69.3,3.75E-04
0.36,293.147,69.9,3.72E-04
0.38,293.751,70.3,3.70E-04
0.4,294.204,70.7,3.69E-04
0.42,294.592,70.8,3.68E-04
0.44,294.937,71.1,3.67E-04
0.46,295.26,71.2,3.65E-04
0.48,295.562,71.5,3.64E-04
0.5,295.993,72,3.62E-04
0.52,296.425,72.5,3.60E-04
0.54,296.942,72.9,3.58E-04
0.56,297.46,73.3,3.56E-04
0.58,297.912,73.7,3.53E-04
0.6,298.322,74.2,3.52E-04
0.62,298.753,74.5,3.50E-04
0.64,299.185,74.6,3.49E-04
0.66,299.465,75,3.47E-04
0.68,299.767,75.3,3.46E-04
0.7,300.069,75.6,3.45E-04
0.72,300.457,76,3.43E-04
0.74,300.823,76.3,3.41E-04
0.76,301.233,76.7,3.39E-04
0.78,301.6,77.1,3.37E-04
0.8,302.074,77.6,3.35E-04
0.82,302.527,78.2,3.33E-04
0.84,302.979,78.8,3.30E-04
0.86,303.497,79.3,3.28E-04
0.88,304.014,80,3.26E-04
0.9,304.51,80.5,3.23E-04
0.92,305.049,81,3.20E-04
0.94,305.61,81.9,3.17E-04
0.96,306.235,82.5,3.14E-04
0.98,306.774,83.2,3.12E-04
1,307.356,83.9,3.09E-04
1.02,307.874,84.5,3.07E-04
1.04,308.413,85.2,3.04E-04
1.06,308.974,85.9,3.01E-04
1.08,309.513,86.7,2.99E-04
1.1,310.052,87.3,2.95E-04
