Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
1.12,310.742,88.4,2.92E-04
1.14,311.432,89.5,2.88E-04
1.16,312.186,90.4,2.85E-04
1.18,312.984,91.5,2.81E-04
1.2,313.825,92.7,2.77E-04
1.22,314.687,93.9,2.74E-04
1.24,315.399,94.8,2.71E-04
1.26,316.089,95.5,2.68E-04
1.28,316.606,96.1,2.66E-04
1.3,316.995,96.6,2.65E-04
1.32,317.383,97,2.63E-04
1.34,317.663,97.7,2.61E-04
1.36,318.073,98.3,2.59E-04
1.38,318.482,98.9,2.57E-04
1.4,318.849,99.6,2.54E-04
1.42,319.366,100.5,2.52E-04
1.44,319.884,101.6,2.49E-04
1.46,320.552,102.5,2.46E-04
1.48,321.264,103.7,2.43E-04
1.5,321.954,104.9,2.39E-04
1.52,322.752,106,2.36E-04
1.54,323.441,107.1,2.33E-04
1.56,324.067,107.9,2.31E-04
1.58,324.627,108.7,2.29E-04
1.6,325.08,109.4,2.27E-04
1.62,325.511,110.1,2.25E-04
1.64,325.856,110.8,2.23E-04
1.66,326.18,111.4,2.21E-04
1.68,326.417,111.9,2.20E-04
1.7,326.59,112.5,2.18E-04
1.72,326.719,113.1,2.17E-04
1.74,326.784,113.5,2.15E-04
1.76,326.827,114.1,2.14E-04
1.78,326.848,114.6,2.12E-04
1.8,326.827,115.3,2.11E-04
1.82,326.784,115.9,2.09E-04
1.84,326.784,116.6,2.07E-04
1.86,326.719,117.4,2.05E-04
1.88,326.676,118.3,2.03E-04
1.9,326.784,119.4,2.01E-04
1.92,326.87,120.5,1.98E-04
1.94,327.042,121.8,1.95E-04
1.96,327.236,123.1,1.93E-04
1.98,327.452,124.3,1.90E-04
2,327.581,125.4,1.88E-04
2.02,327.624,126.5,1.85E-04
2.04,327.581,127.4,1.83E-04
2.06,327.474,128.4,1.81E-04
2.08,327.474,129.5,1.79E-04
2.1,327.43,130.6,1.77E-04
2.12,327.452,131.7,1.74E-04
2.14,327.474,133.1,1.72E-04
2.16,327.517,134.3,1.70E-04
2.18,327.646,135.7,1.67E-04
2.2,327.862,137.2,1.65E-04
2.22,328.077,138.6,1.62E-04
2.24,328.271,139.8,1.60E-04
2.26,328.379,141.1,1.58E-04
2.28,328.487,142.3,1.56E-04
2.3,328.552,143.4,1.53E-04
2.32,328.767,145.1,1.51E-04
2.34,329.198,147.5,1.47E-04
2.36,330.061,150.4,1.43E-04
2.38,331.117,153.4,1.39E-04
2.4,332.282,156.4,1.35E-04
2.42,333.317,158.8,1.32E-04
2.44,334.136,161,1.29E-04
2.46,334.632,162.4,1.27E-04
2.48,334.826,163.2,1.26E-04
2.5,334.718,163.6,1.25E-04
2.52,334.373,164,1.24E-04
2.54,333.877,164.1,1.23E-04
2.56,333.338,164.4,1.23E-04
2.58,332.821,164.6,1.22E-04
2.6,332.325,164.9,1.21E-04
2.62,331.807,165.3,1.20E-04
2.64,331.398,165.8,1.19E-04
2.66,331.031,166.5,1.18E-04
2.68,330.794,167.5,1.17E-04
2.7,330.686,168.8,1.15E-04
2.72,330.622,169.9,1.14E-04
2.74,330.708,171.3,1.12E-04
2.76,330.837,172.7,1.10E-04
2.78,331.01,173.9,1.09E-04
2.8,331.268,175.4,1.07E-04
2.82,331.613,176.8,1.05E-04
2.84,331.915,178,1.04E-04
2.86,332.303,179.4,1.02E-04
2.88,332.735,180.6,1.01E-04
2.9,333.166,181.8,9.94E-05
2.92,333.683,183.1,9.79E-05
2.94,334.222,184.6,9.63E-05
2.96,335.042,186.3,9.45E-05
2.98,336.055,188.8,9.22E-05
3,336.616,188.4,9.21E-05
3.02,336.68,187.9,9.22E-05
3.04,336.616,187.4,9.21E-05
3.06,336.292,187,9.21E-05
3.08,335.926,186.5,9.21E-05
3.1,335.538,186.1,9.22E-05
3.12,335.063,185.7,9.21E-05
3.14,334.546,185.4,9.21E-05
3.16,334.028,184.9,9.21E-05
3.18,333.489,184.6,9.21E-05
3.2,332.993,184.1,9.21E-05
3.22,332.454,183.9,9.21E-05
3.24,331.786,183.6,9.21E-05
3.26,331.29,183.1,9.22E-05
3.28,330.751,182.9,9.22E-05
3.3,330.233,182.6,9.21E-05
3.32,329.738,182.2,9.22E-05
3.34,329.198,182,9.22E-05
3.36,328.681,181.6,9.22E-05
3.38,328.164,181.3,9.22E-05
3.4,327.646,181.1,9.21E-05
3.42,327.129,180.9,9.22E-05
3.44,326.525,180.5,9.22E-05
3.46,326.007,180.2,9.22E-05
3.48,325.468,180.1,9.22E-05
3.5,324.929,179.8,9.21E-05
3.52,324.39,179.6,9.22E-05
3.54,323.894,179.2,9.22E-05
3.56,323.398,179.1,9.22E-05
3.58,322.902,178.8,9.21E-05
3.6,322.407,178.7,9.22E-05
3.62,321.954,178.4,9.22E-05
3.64,321.523,178.2,9.22E-05
3.66,321.005,178.1,9.22E-05
3.68,320.574,177.8,9.22E-05
3.7,320.186,177.7,9.22E-05
3.72,319.69,177.4,9.22E-05
3.74,319.323,177.3,9.22E-05
3.76,318.849,177.1,9.23E-05
3.78,318.504,176.9,9.23E-05
3.8,318.073,176.8,9.23E-05
3.82,317.685,176.6,9.22E-05
3.84,317.296,176.3,9.22E-05
3.86,316.865,176.2,9.22E-05
3.88,316.477,176.2,9.23E-05
3.9,316.089,175.9,9.23E-05
3.92,315.744,175.8,9.22E-05
