Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,287.132,65.5,3.91E-04
0.02,287.326,65.7,3.90E-04
0.04,287.563,65.9,3.89E-04
0.06,287.8,66.4,3.87E-04
0.08,288.145,66.8,3.84E-04
0.1,288.576,67.4,3.81E-04
0.12,289.007,67.9,3.79E-04
0.14,289.503,68.4,3.76E-04
0.16,289.848,68.7,3.75E-04
0.18,290.107,69,3.73E-04
0.2,290.387,69.3,3.71E-04
0.22,290.711,69.7,3.69E-04
0.24,291.077,70.3,3.67E-04
0.26,291.466,70.9,3.64E-04
0.28,291.961,71.6,3.60E-04
0.3,292.63,72.5,3.56E-04
0.32,293.212,73.2,3.52E-04
0.34,293.816,74,3.49E-04
0.36,294.333,74.5,3.47E-04
0.38,294.7,75,3.45E-04
0.4,295.109,75.3,3.43E-04
0.42,295.498,75.7,3.41E-04
0.44,295.929,76.3,3.38E-04
0.46,296.425,77,3.36E-04
0.48,296.964,77.6,3.33E-04
0.5,297.567,78.4,3.29E-04
0.52,298.193,79,3.26E-04
0.54,298.84,79.7,3.24E-04
0.56,299.53,80.4,3.21E-04
0.58,300.176,81.1,3.18E-04
0.6,300.91,82,3.15E-04
0.62,301.6,82.8,3.11E-04
0.64,302.397,83.4,3.08E-04
0.66,303.195,84.4,3.05E-04
0.68,304.058,85.3,3.01E-04
0.7,304.985,86.2,2.98E-04
0.72,305.912,87.4,2.94E-04
0.74,306.839,88.3,2.90E-04
0.76,307.809,89.4,2.87E-04
0.78,308.672,90.2,2.84E-04
0.8,309.534,91.1,2.81E-04
0.82,310.418,92,2.77E-04
0.84,311.259,93.1,2.74E-04
0.86,312.143,94,2.71E-04
0.88,312.984,94.7,2.68E-04
0.9,313.652,95.5,2.66E-04
0.92,314.278,96.1,2.64E-04
0.94,314.795,96.7,2.62E-04
0.96,315.291,97.4,2.60E-04
0.98,315.766,98,2.58E-04
1,316.326,98.6,2.55E-04
1.02,316.951,99.7,2.53E-04
1.04,317.663,100.8,2.49E-04
1.06,318.525,102.1,2.46E-04
1.08,319.453,103.4,2.42E-04
1.1,320.401,104.5,2.39E-04
1.12,321.264,105.5,2.36E-04
1.14,321.954,106.4,2.33E-04
1.16,322.557,107.3,2.31E-04
1.18,323.01,107.9,2.29E-04
1.2,323.506,108.4,2.28E-04
1.22,323.851,109,2.26E-04
1.24,324.196,109.7,2.24E-04
1.26,324.627,110.4,2.22E-04
1.28,325.059,111.2,2.20E-04
1.3,325.404,111.8,2.18E-04
1.32,325.9,112.7,2.16E-04
1.34,326.374,113.6,2.14E-04
1.36,326.784,114.3,2.12E-04
1.38,327.129,115.2,2.10E-04
1.4,327.474,115.9,2.08E-04
1.42,327.819,116.6,2.06E-04
1.44,328.185,117.6,2.04E-04
1.46,328.508,118.5,2.02E-04
1.48,328.853,119.6,1.99E-04
1.5,329.198,120.6,1.97E-04
1.52,329.543,121.6,1.95E-04
1.54,329.738,122.6,1.92E-04
1.56,329.91,123.5,1.90E-04
1.58,330.039,124.4,1.89E-04
1.6,329.91,125.1,1.87E-04
1.62,329.824,125.8,1.85E-04
1.64,329.565,126.5,1.84E-04
1.66,329.306,127.3,1.82E-04
1.68,329.091,128.1,1.80E-04
1.7,328.853,129,1.78E-04
1.72,328.703,130.1,1.76E-04
1.74,328.552,131.1,1.74E-04
1.76,328.444,132.1,1.72E-04
1.78,328.336,133.1,1.70E-04
1.8,328.164,134,1.68E-04
1.82,327.969,134.9,1.66E-04
1.84,327.775,135.7,1.65E-04
1.86,327.56,136.7,1.63E-04
1.88,327.301,137.4,1.61E-04
1.9,326.999,138,1.60E-04
1.92,326.74,138.7,1.59E-04
1.94,326.417,139.3,1.57E-04
1.96,326.094,140.1,1.56E-04
1.98,325.9,140.8,1.55E-04
2,325.727,141.6,1.53E-04
2.02,325.576,142.5,1.51E-04
2.04,325.533,143.5,1.50E-04
2.06,325.511,144.5,1.48E-04
2.08,325.511,145.5,1.46E-04
2.1,325.468,146.4,1.45E-04
2.12,325.447,147.2,1.43E-04
2.14,325.404,147.9,1.42E-04
2.16,325.404,148.8,1.41E-04
2.18,325.404,149.7,1.39E-04
2.2,325.382,150.5,1.38E-04
2.22,325.404,151.4,1.36E-04
2.24,325.404,152.5,1.35E-04
2.26,325.468,153.4,1.33E-04
2.28,325.555,154.4,1.31E-04
2.3,325.598,155.3,1.30E-04
2.32,325.684,156.6,1.29E-04
2.34,325.749,157.5,1.27E-04
2.36,325.792,158.5,1.26E-04
2.38,325.878,159.4,1.24E-04
2.4,326.007,160.6,1.23E-04
2.42,326.115,161.7,1.21E-04
2.44,326.309,162.9,1.19E-04
2.46,326.546,164.1,1.18E-04
2.48,326.784,165.2,1.16E-04
2.5,327.085,166.4,1.15E-04
2.52,327.387,168,1.13E-04
2.54,327.819,169.3,1.11E-04
2.56,328.228,170.7,1.10E-04
2.58,328.724,172.4,1.08E-04
2.6,329.522,174.6,1.05E-04
2.62,330.449,177.2,1.02E-04
