Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
0,297.373,71.291,3.66E-04
0.02,297.395,71.23,3.66E-04
0.04,297.352,71.291,3.66E-04
0.06,297.352,71.291,3.66E-04
0.08,297.373,71.291,3.66E-04
0.1,297.352,71.23,3.66E-04
0.12,297.395,71.23,3.66E-04
0.14,297.352,71.291,3.66E-04
0.16,297.395,71.23,3.66E-04
0.18,297.373,71.23,3.66E-04
0.2,297.352,71.352,3.66E-04
0.22,297.395,71.23,3.66E-04
0.24,297.373,71.23,3.66E-04
0.26,297.395,71.23,3.66E-04
0.28,297.395,71.23,3.66E-04
0.3,297.438,71.352,3.66E-04
0.32,297.46,71.474,3.65E-04
0.34,297.567,71.596,3.65E-04
0.36,297.783,71.841,3.63E-04
0.38,297.956,72.146,3.63E-04
0.4,298.107,72.268,3.62E-04
0.42,298.214,72.329,3.61E-04
0.44,298.322,72.39,3.61E-04
0.46,298.387,72.268,3.61E-04
0.48,298.387,72.329,3.61E-04
0.5,298.387,72.329,3.61E-04
0.52,298.365,72.329,3.61E-04
0.54,298.322,72.268,3.61E-04
0.56,298.365,72.268,3.61E-04
0.58,298.322,72.451,3.61E-04
0.6,298.322,72.329,3.61E-04
0.62,298.322,72.329,3.61E-04
0.64,298.322,72.268,3.61E-04
0.66,298.322,72.329,3.61E-04
0.68,298.301,72.268,3.61E-04
0.7,298.301,72.329,3.61E-04
0.72,298.279,72.268,3.61E-04
0.74,298.301,72.39,3.61E-04
0.76,298.322,72.573,3.60E-04
0.78,298.408,72.695,3.60E-04
0.8,298.495,72.695,3.59E-04
0.82,298.516,72.756,3.59E-04
0.84,298.646,72.756,3.58E-04
0.86,298.667,72.878,3.58E-04
0.88,298.71,72.817,3.58E-04
0.9,298.732,72.939,3.58E-04
0.92,298.753,73,3.58E-04
0.94,298.71,72.878,3.58E-04
0.96,298.667,72.939,3.58E-04
0.98,298.689,72.878,3.58E-04
1,298.689,72.939,3.58E-04
1.02,298.667,72.939,3.58E-04
1.04,298.667,72.817,3.58E-04
1.06,298.667,73.061,3.58E-04
1.08,298.667,73.061,3.57E-04
1.1,298.732,73.122,3.57E-04
1.12,298.84,73.183,3.57E-04
1.14,298.84,73.244,3.56E-04
1.16,298.84,73.244,3.56E-04
1.18,298.904,73.244,3.56E-04
1.2,298.926,73.244,3.56E-04
1.22,298.883,73.244,3.56E-04
1.24,298.861,73.183,3.56E-04
1.26,298.861,73.244,3.56E-04
1.28,298.84,73.244,3.56E-04
1.3,298.84,73.244,3.56E-04
1.32,298.84,73.244,3.56E-04
1.34,298.84,73.244,3.56E-04
1.36,298.818,73.244,3.56E-04
1.38,298.84,73.305,3.56E-04
1.4,298.84,73.366,3.55E-04
1.42,298.904,73.55,3.55E-04
1.44,298.991,73.489,3.55E-04
1.46,299.012,73.489,3.54E-04
1.48,299.012,73.672,3.54E-04
1.5,299.12,73.611,3.54E-04
1.52,299.185,73.733,3.53E-04
1.54,299.185,73.794,3.53E-04
1.56,299.185,73.733,3.53E-04
1.58,299.206,73.855,3.53E-04
1.6,299.185,73.733,3.53E-04
1.62,299.185,73.672,3.53E-04
1.64,299.185,73.733,3.53E-04
1.66,299.185,73.733,3.53E-04
1.68,299.185,73.733,3.53E-04
1.7,299.12,73.672,3.53E-04
1.72,299.098,73.733,3.53E-04
1.74,299.055,73.733,3.53E-04
1.76,299.012,73.733,3.53E-04
1.78,299.034,73.672,3.53E-04
1.8,299.012,73.733,3.53E-04
1.82,299.012,73.733,3.53E-04
1.84,299.012,73.855,3.53E-04
1.86,299.012,73.977,3.52E-04
1.88,299.163,74.16,3.52E-04
1.9,299.249,74.221,3.51E-04
1.92,299.336,74.221,3.51E-04
1.94,299.357,74.465,3.50E-04
1.96,299.422,74.526,3.50E-04
1.98,299.465,74.465,3.50E-04
2,299.465,74.404,3.50E-04
2.02,299.422,74.343,3.50E-04
2.04,299.4,74.404,3.50E-04
2.06,299.379,74.404,3.50E-04
2.08,299.357,74.404,3.50E-04
2.1,299.357,74.404,3.50E-04
2.12,299.357,74.404,3.50E-04
2.14,299.336,74.465,3.50E-04
2.16,299.357,74.526,3.49E-04
2.18,299.443,74.648,3.49E-04
2.2,299.508,74.77,3.48E-04
2.22,299.53,74.77,3.48E-04
2.24,299.573,74.709,3.48E-04
2.26,299.616,74.953,3.48E-04
2.28,299.681,75.014,3.47E-04
2.3,299.681,75.076,3.47E-04
2.32,299.681,74.953,3.47E-04
2.34,299.702,75.076,3.47E-04
2.36,299.702,75.014,3.47E-04
2.38,299.702,75.076,3.47E-04
2.4,299.702,75.014,3.47E-04
2.42,299.616,75.014,3.47E-04
2.44,299.616,75.014,3.47E-04
2.46,299.594,75.014,3.47E-04
2.48,299.551,75.014,3.47E-04
2.5,299.53,74.953,3.47E-04
2.52,299.53,74.953,3.47E-04
2.54,299.53,75.014,3.47E-04
2.56,299.486,74.953,3.47E-04
2.58,299.486,74.953,3.47E-04
2.6,299.486,75.076,3.46E-04
2.62,299.53,75.137,3.46E-04
2.64,299.53,75.198,3.46E-04
2.66,299.637,75.259,3.45E-04
2.68,299.702,75.442,3.45E-04
2.7,299.702,75.564,3.44E-04
2.72,299.745,75.503,3.44E-04
2.74,299.788,75.503,3.44E-04
2.76,299.81,75.564,3.44E-04
2.78,299.875,75.686,3.43E-04
2.8,299.875,75.686,3.43E-04
2.82,299.875,75.808,3.43E-04
2.84,299.939,75.869,3.43E-04
2.86,300.004,75.93,3.42E-04
2.88,300.047,76.052,3.42E-04
2.9,300.025,75.991,3.42E-04
2.92,300.047,76.113,3.42E-04
2.94,300.047,76.052,3.41E-04
2.96,300.047,76.052,3.41E-04
2.98,300.047,76.113,3.41E-04
3,299.982,76.113,3.41E-04
3.02,300.004,76.052,3.41E-04
3.04,299.939,76.113,3.41E-04
3.06,299.875,76.113,3.41E-04
3.08,299.875,76.052,3.41E-04
3.1,299.875,75.991,3.41E-04
3.12,299.831,76.113,3.41E-04
3.14,299.81,76.052,3.41E-04
3.16,299.767,75.991,3.41E-04
3.18,299.724,75.991,3.41E-04
3.2,299.702,76.052,3.41E-04
3.22,299.681,76.052,3.41E-04
3.24,299.702,76.174,3.41E-04
3.26,299.724,76.174,3.40E-04
3.28,299.81,76.296,3.40E-04
3.3,299.875,76.479,3.40E-04
3.32,299.896,76.418,3.39E-04
3.34,299.961,76.418,3.39E-04
3.36,299.961,76.54,3.39E-04
3.38,299.961,76.601,3.39E-04
3.4,299.982,76.601,3.39E-04
3.42,299.982,76.54,3.38E-04
3.44,299.982,76.601,3.38E-04
3.46,299.982,76.601,3.38E-04
3.48,299.982,76.662,3.38E-04
3.5,299.982,76.662,3.38E-04
3.52,299.918,76.662,3.38E-04
3.54,299.875,76.662,3.38E-04
3.56,299.875,76.662,3.38E-04
3.58,299.831,76.601,3.38E-04
3.6,299.853,76.662,3.38E-04
3.62,299.724,76.601,3.38E-04
3.64,299.745,76.601,3.38E-04
3.66,299.702,76.601,3.38E-04
3.68,299.659,76.662,3.38E-04
3.7,299.681,76.601,3.38E-04
3.72,299.616,76.601,3.38E-04
3.74,299.594,76.54,3.38E-04
3.76,299.573,76.601,3.38E-04
3.78,299.53,76.662,3.38E-04
3.8,299.594,76.724,3.37E-04
3.82,299.637,76.724,3.37E-04
3.84,299.681,76.724,3.37E-04
3.86,299.702,76.968,3.36E-04
3.88,299.702,76.968,3.36E-04
3.9,299.702,77.029,3.36E-04
3.92,299.788,77.09,3.36E-04
3.94,299.788,77.09,3.36E-04
3.96,299.81,77.09,3.35E-04
3.98,299.745,77.029,3.35E-04
4,299.745,77.151,3.35E-04
4.02,299.702,77.09,3.35E-04
4.04,299.702,77.029,3.35E-04
4.06,299.681,77.09,3.35E-04
4.08,299.616,77.029,3.35E-04
4.1,299.594,77.09,3.35E-04
4.12,299.551,77.029,3.35E-04
4.14,299.53,76.968,3.35E-04
4.16,299.53,77.09,3.35E-04
4.18,299.53,77.151,3.35E-04
4.2,299.53,77.09,3.35E-04
4.22,299.53,77.151,3.35E-04
4.24,299.53,77.151,3.35E-04
4.26,299.573,77.334,3.34E-04
4.28,299.659,77.456,3.34E-04
4.3,299.702,77.456,3.34E-04
4.32,299.702,77.517,3.33E-04
