Tiempo ( s ),T ( K ),P ( kPa ),V ( m3 )
3.34,326.913,161.077,1.28E-04
3.36,327.042,162.175,1.26E-04
3.38,327.129,163.091,1.25E-04
3.4,327.215,164.19,1.24E-04
3.42,327.258,165.044,1.22E-04
3.44,327.236,166.021,1.21E-04
3.46,327.279,166.997,1.20E-04
3.48,327.323,167.974,1.18E-04
3.5,327.452,169.073,1.17E-04
3.52,327.668,170.232,1.15E-04
3.54,327.969,171.636,1.14E-04
3.56,328.336,173.04,1.12E-04
3.58,328.81,174.627,1.10E-04
3.6,329.285,176.153,1.08E-04
3.62,329.845,177.435,1.07E-04
3.64,330.384,178.716,1.05E-04
3.66,330.859,179.693,1.04E-04
3.68,331.268,180.609,1.03E-04
3.7,331.7,181.585,1.02E-04
3.72,332.131,182.501,1.01E-04
