Tiempo (s),Temperatura 1 (°C),,,,,,T°
0.99,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.01,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.02,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.03,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.04,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.05,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.06,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.07,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.08,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.09,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.1,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.11,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.12,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.13,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.14,26.96,26.96,26.96,26.96,26.96,26.96,26.96
1.15,26.97,26.97,26.97,26.96,26.96,26.96,26.96
1.16,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.17,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.18,26.96,26.97,26.97,26.97,26.97,26.97,26.97
1.19,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.2,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.21,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.22,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.23,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.24,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.25,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.26,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.27,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.28,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.29,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.3,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.31,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.32,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.33,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.34,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.35,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.36,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.37,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.38,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.39,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.4,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.41,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.42,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.43,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.44,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.45,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.46,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.47,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.48,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.49,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.5,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.51,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.52,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.53,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.54,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.55,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.56,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.57,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.58,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.59,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.6,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.61,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.62,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.63,26.98,26.97,26.97,26.97,26.97,26.97,26.97
1.64,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.65,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.66,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.67,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.68,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.69,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.7,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.71,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.72,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.73,26.98,26.97,26.97,26.97,26.97,26.97,26.97
1.74,26.97,26.97,26.97,26.97,26.97,26.97,26.97
1.75,26.98,26.97,26.97,26.97,26.97,26.97,26.97
1.76,26.97,26.97,26.97,26.98,26.98,26.98,26.98
1.77,26.97,26.98,26.98,26.98,26.98,26.98,26.98
1.78,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.79,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.8,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.81,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.82,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.83,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.84,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.85,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.86,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.87,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.88,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.89,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.9,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.91,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.92,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.93,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.94,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.95,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.96,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.97,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98
1.99,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.01,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.02,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.03,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.04,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.05,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.06,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.07,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.08,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.09,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.1,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.11,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.12,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.13,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.14,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.15,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.16,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.17,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.18,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.19,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.2,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.21,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.22,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.23,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.24,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.25,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.26,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.27,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.28,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.29,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.3,26.99,26.98,26.98,26.98,26.98,26.98,26.98
2.31,26.98,26.98,26.98,26.98,26.98,26.98,26.98
2.32,26.98,26.98,26.98,26.98,26.98,26.98,26.98
