Tiempo (s),Temperatura 1 (°C),,,,,,T°
4.34,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.35,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.36,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.37,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.38,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.39,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.4,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.41,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.42,27.04,27.03,27.03,27.03,27.03,27.03,27.03
4.43,27.04,27.04,27.03,27.03,27.03,27.03,27.03
4.44,27.03,27.04,27.03,27.03,27.03,27.03,27.03
4.45,27.04,27.03,27.03,27.03,27.03,27.03,27.03
4.46,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.47,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.48,27.03,27.03,27.03,27.03,27.03,27.03,27.03
4.49,27.04,27.03,27.03,27.03,27.04,27.04,27.04
4.5,27.03,27.04,27.04,27.04,27.04,27.04,27.04
4.51,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.52,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.53,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.54,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.55,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.56,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.57,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.58,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.59,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.6,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.61,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.62,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.63,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.64,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.65,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.66,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.67,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.68,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.69,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.7,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.71,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.72,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.73,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.74,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.75,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.76,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.77,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.78,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.79,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.8,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.81,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.82,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.83,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.84,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.85,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.86,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.87,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.88,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.89,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.9,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.91,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.92,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.93,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.94,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.95,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.96,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.97,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.98,27.04,27.04,27.04,27.04,27.04,27.04,27.04
4.99,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.01,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.02,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.03,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.04,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.05,27.05,27.04,27.04,27.04,27.04,27.04,27.04
5.06,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.07,27.04,27.04,27.04,27.04,27.04,27.04,27.04
5.08,27.04,27.04,27.04,27.05,27.05,27.05,27.05
5.09,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.1,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.11,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.12,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.13,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.14,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.15,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.16,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.17,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.18,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.19,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.2,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.21,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.22,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.23,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.24,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.25,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.26,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.27,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.28,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.29,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.3,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.31,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.32,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.33,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.34,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.35,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.36,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.37,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.38,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.39,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.4,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.41,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.42,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.43,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.44,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.45,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.46,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.47,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.48,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.49,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.5,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.51,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.52,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.53,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.54,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.55,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.56,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.57,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.58,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.59,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.6,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.61,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.62,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.63,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.64,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.65,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.66,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.67,27.05,27.05,27.05,27.05,27.05,27.05,27.05
5.68,27.06,27.05,27.05,27.05,27.05,27.05,27.05
5.69,27.05,27.06,27.06,27.06,27.06,27.06,27.06
5.7,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.71,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.72,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.73,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.74,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.75,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.76,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.77,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.78,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.79,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.8,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.81,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.82,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.83,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.84,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.85,27.06,27.06,27.06,27.06,27.06,27.06,27.06
5.86,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.87,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.88,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.89,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.9,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.91,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.92,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.93,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.94,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.95,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.96,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.97,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.98,27.07,27.07,27.07,27.07,27.07,27.07,27.07
5.99,27.07,27.07,27.07,27.07,27.07,27.07,27.07
6,27.07,27.07,27.07,27.07,27.07,27.07,27.07
6.01,27.07,27.07,27.07,27.07,27.07,27.07,27.07
6.02,27.07,27.07,27.07,27.07,27.07,27.07,27.07
6.03,27.08,27.07,27.07,27.07,27.07,27.07,27.07
6.04,27.07,27.08,27.08,27.08,27.08,27.08,27.08
6.05,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.06,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.07,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.08,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.09,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.1,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.11,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.12,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.13,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.14,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.15,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.16,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.17,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.18,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.19,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.2,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.21,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.22,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.23,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.24,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.25,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.26,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.27,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.28,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.29,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.3,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.31,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.32,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.33,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.34,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.35,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.36,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.37,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.38,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.39,27.09,27.08,27.08,27.08,27.08,27.08,27.08
6.4,27.09,27.08,27.08,27.08,27.08,27.08,27.08
6.41,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.42,27.08,27.08,27.08,27.08,27.08,27.08,27.08
6.43,27.08,27.08,27.09,27.09,27.09,27.09,27.09
6.44,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.45,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.46,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.47,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.48,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.49,27.08,27.09,27.09,27.09,27.09,27.09,27.09
6.5,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.51,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.52,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.53,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.54,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.55,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.56,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.57,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.58,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.59,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.6,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.61,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.62,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.63,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.64,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.65,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.66,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.67,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.68,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.69,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.7,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.71,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.72,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.73,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.74,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.75,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.76,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.77,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.78,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.79,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.8,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.81,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.82,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.83,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.84,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.85,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.86,27.1,27.09,27.09,27.09,27.09,27.09,27.09
6.87,27.09,27.09,27.09,27.09,27.09,27.09,27.09
6.88,27.09,27.10,27.10,27.10,27.10,27.10,27.10
6.89,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.9,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.91,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.92,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.93,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.94,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.95,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.96,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.97,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.98,27.1,27.10,27.10,27.10,27.10,27.10,27.10
6.99,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.01,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.02,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.03,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.04,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.05,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.06,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.07,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.08,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.09,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.1,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.11,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.12,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.13,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.14,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.15,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.16,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.17,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.18,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.19,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.2,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.21,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.22,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.23,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.24,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.25,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.26,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.27,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.28,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.29,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.3,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.31,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.32,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.33,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.34,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.35,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.36,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.37,27.11,27.10,27.10,27.10,27.10,27.10,27.10
7.38,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.39,27.1,27.11,27.10,27.10,27.10,27.10,27.10
7.4,27.11,27.11,27.11,27.10,27.10,27.10,27.10
7.41,27.11,27.11,27.11,27.10,27.10,27.10,27.10
7.42,27.11,27.11,27.10,27.10,27.10,27.10,27.10
7.43,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.44,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.45,27.1,27.10,27.10,27.10,27.10,27.10,27.10
7.46,27.1,27.10,27.10,27.10,27.10,27.10,27.11
7.47,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.48,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.49,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.5,27.1,27.11,27.11,27.11,27.11,27.11,27.11
7.51,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.52,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.53,27.1,27.11,27.11,27.11,27.11,27.11,27.11
7.54,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.55,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.56,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.57,27.1,27.11,27.11,27.11,27.11,27.11,27.11
7.58,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.59,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.6,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.61,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.62,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.63,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.64,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.65,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.66,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.67,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.68,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.69,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.7,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.71,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.72,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.73,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.74,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.75,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.76,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.77,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.78,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.79,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.8,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.81,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.82,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.83,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.84,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.85,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.86,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.87,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.88,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.89,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.9,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.91,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.92,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.93,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.94,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.95,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.96,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.97,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.98,27.11,27.11,27.11,27.11,27.11,27.11,27.11
7.99,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.01,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.02,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.03,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.04,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.05,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.06,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.07,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.08,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.09,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.1,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.11,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.12,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.13,27.12,27.11,27.11,27.11,27.11,27.11,27.11
8.14,27.11,27.11,27.11,27.11,27.11,27.11,27.11
8.15,27.12,27.11,27.11,27.11,27.11,27.11,27.11
8.16,27.11,27.11,27.11,27.12,27.12,27.12,27.12
8.17,27.11,27.12,27.12,27.12,27.12,27.12,27.12
8.18,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.19,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.2,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.21,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.22,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.23,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.24,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.25,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.26,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.27,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.28,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.29,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.3,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.31,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.32,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.33,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.34,27.12,27.12,27.12,27.12,27.12,27.12,27.12
8.35,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.36,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.37,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.38,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.39,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.4,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.41,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.42,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.43,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.44,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.45,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.46,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.47,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.48,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.49,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.5,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.51,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.52,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.53,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.54,27.13,27.13,27.13,27.13,27.13,27.13,27.13
8.55,27.14,27.13,27.13,27.13,27.13,27.13,27.13
8.56,27.13,27.14,27.14,27.14,27.14,27.14,27.14
8.57,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.58,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.59,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.6,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.61,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.62,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.63,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.64,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.65,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.66,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.67,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.68,27.14,27.14,27.14,27.14,27.14,27.14,27.14
8.69,27.14,27.14,27.14,27.14,27.14,27.14,27.14
