Volumen ( m3 )	Presion ( kPa )
1.749E-4	113.224
1.750E-4	113.224
1.750E-4	113.285
1.749E-4	113.285
1.749E-4	113.285
1.749E-4	113.407
1.754E-4	112.980
1.762E-4	112.308
1.764E-4	112.308
1.764E-4	112.308
1.764E-4	112.308
1.765E-4	112.308
1.766E-4	112.308
1.769E-4	112.125
1.774E-4	111.820
1.777E-4	111.637
1.779E-4	111.393
1.778E-4	111.454
1.779E-4	111.576
1.782E-4	111.332
1.790E-4	110.660
1.793E-4	110.538
1.793E-4	110.660
1.793E-4	110.660
1.796E-4	110.477
1.798E-4	110.355
1.798E-4	110.416
1.798E-4	110.355
1.800E-4	110.294
1.809E-4	109.684
1.813E-4	109.378
1.814E-4	109.439
1.814E-4	109.500
1.813E-4	109.500
1.814E-4	109.561
1.814E-4	109.500
1.816E-4	109.439
1.822E-4	109.012
1.824E-4	108.768
1.824E-4	108.829
1.824E-4	108.829
1.824E-4	109.012
1.824E-4	108.890
1.824E-4	108.951
1.832E-4	108.402
1.842E-4	107.730
1.846E-4	107.425
1.846E-4	107.547
1.846E-4	107.669
1.848E-4	107.486
1.851E-4	107.364
1.855E-4	106.998
1.857E-4	106.937
1.857E-4	107.059
1.858E-4	107.059
1.863E-4	106.693
1.869E-4	106.326
1.870E-4	106.265
1.870E-4	106.388
1.870E-4	106.449
1.870E-4	106.449
1.873E-4	106.265
1.880E-4	105.777
1.883E-4	105.472
1.885E-4	105.533
1.891E-4	105.167
1.897E-4	104.740
1.900E-4	104.495
1.904E-4	104.251
1.909E-4	104.007
1.910E-4	104.007
1.910E-4	104.129
1.911E-4	104.068
1.917E-4	103.763
1.925E-4	103.214
1.928E-4	103.030
1.930E-4	103.030
1.934E-4	102.664
1.936E-4	102.786
1.936E-4	102.786
1.936E-4	102.847
1.936E-4	102.847
1.937E-4	102.847
1.946E-4	102.298
1.953E-4	101.932
1.954E-4	101.871
1.954E-4	101.932
1.954E-4	101.993
1.958E-4	101.688
1.967E-4	101.077
1.968E-4	101.077
1.968E-4	101.077
1.969E-4	101.138
1.969E-4	101.199
1.969E-4	101.321
1.969E-4	101.382
