"nR","V"
"71",6.50466887095857e-05,4.15312689291894e-07
"72",6.504647102526e-05,4.1531129941234e-07
"73",6.49522393753911e-05,4.16985987798307e-07
"74",6.49821291719515e-05,4.18324626603438e-07
"75",6.50837647625773e-05,4.18321826694287e-07
"76",6.50831113461127e-05,4.18317626900835e-07
"77",6.51084108333863e-05,4.18316226988424e-07
"78",6.50632893261717e-05,4.20996268594281e-07
"79",6.48538866484831e-05,4.25695687823162e-07
"80",6.48750583164046e-05,4.2737474104839e-07
"81",6.49782504367382e-05,4.27367589673567e-07
"82",6.500304411558e-05,4.277022549748e-07
"83",6.49676799250347e-05,4.29711684878098e-07
"84",6.5018060212981e-05,4.30044912083425e-07
"85",6.50176250301197e-05,4.30042033680491e-07
"86",6.50694368681207e-05,4.30037716148335e-07
"87",6.51687628634823e-05,4.31041695252183e-07
"88",6.50610446067916e-05,4.31376354953466e-07
"89",6.511086495278e-05,4.31706680409887e-07
"90",6.51058765260227e-05,4.32373099164703e-07
"91",6.5127412856072e-05,4.33042407367745e-07
"92",6.52326385960685e-05,4.33039508998789e-07
"93",6.52274186045733e-05,4.33707361312366e-07
"94",6.5242754835687e-05,4.35044508399705e-07
"95",6.52073405640204e-05,4.3604991650464e-07
"96",6.5203927447962e-05,4.36383106887089e-07
"97",6.52835670853119e-05,4.36381646537559e-07
"98",6.52430772937645e-05,4.37720240545343e-07
"99",6.51369822901049e-05,4.40070143499679e-07
"100",6.51596514242879e-05,4.40404797601199e-07
"101",6.520048792568e-05,4.41408759905761e-07
"102",6.5230979599486e-05,4.43082030413365e-07
"103",6.52433377061469e-05,4.44085992717927e-07
"104",6.52922852448154e-05,4.44419159552502e-07
"105",6.53191762209773e-05,4.44417672295511e-07
"106",6.53456296578888e-05,4.44413210584263e-07
"107",6.53199843383453e-05,4.46089438757241e-07
"108",6.52983039730135e-05,4.47432533733133e-07
"109",6.53249415197829e-05,4.47428041724254e-07
"110",6.54063830855261e-05,4.47425047101777e-07
"111",6.54059453254937e-05,4.47422052519384e-07
"112",6.54328001338576e-05,4.47419057977077e-07
"113",6.54596545827519e-05,4.47416063474853e-07
"114",6.54862895291637e-05,4.47411571796674e-07
"115",6.54082421719445e-05,4.48751627184778e-07
"116",6.53754914231024e-05,4.49090775233748e-07
"117",6.54604465474892e-05,4.50429346843983e-07
"118",6.53455881614746e-05,4.53448720136804e-07
"119",6.52481762719578e-05,4.57814471354803e-07
"120",6.53238194042388e-05,4.58149131056086e-07
"121",6.53352885268615e-05,4.58818450458651e-07
"122",6.53829437336644e-05,4.59153110159934e-07
"123",6.529222758046e-05,4.60488666825071e-07
"124",6.52582904684295e-05,4.63844555181104e-07
"125",6.52960061042951e-05,4.64515438110346e-07
"126",6.53898737312044e-05,4.65183211906013e-07
"127",6.52550902592318e-05,4.66858095218972e-07
"128",6.52317238055715e-05,4.68534557770311e-07
"129",6.52823190016098e-05,4.70547287325009e-07
"130",6.53065541949324e-05,4.71551300029116e-07
"131",6.52089785509419e-05,4.71885970930486e-07
"132",6.52843293172691e-05,4.73895582329317e-07
"133",6.52655664844929e-05,4.75235860896456e-07
"134",6.52992108433735e-05,4.75903614457831e-07
"135",6.53036208044819e-05,4.76571363549653e-07
"136",6.53583171295754e-05,4.78247919169743e-07
