P ( kPa ),ln(v/v?),V ( m3 )
136.662,0.407742016001383,0.0001429
136.174,0.411234859231082,0.0001434
135.746,0.413324724150541,0.0001437
135.502,0.415410230641562,0.000144
135.319,0.417491396845387,0.0001443
134.953,0.420259564703,0.0001447
134.77,0.421640780392198,0.0001449
134.892,0.421640780392198,0.0001449
134.953,0.421640780392198,0.0001449
134.77,0.423709033456257,0.0001452
133.976,0.428518386594302,0.0001459
133.732,0.43125623909164,0.0001463
133.61,0.431939532592773,0.0001464
133.366,0.433986616214497,0.0001467
133.183,0.436029517844298,0.000147
133.122,0.436709558672953,0.0001471
133.244,0.436709558672953,0.0001471
133.244,0.437389137360338,0.0001472
133.305,0.436709558672953,0.0001471
133.366,0.436709558672953,0.0001471
133.488,0.437389137360338,0.0001472
133.183,0.438746910820798,0.0001474
132.572,0.442809204829677,0.000148
132.267,0.444834180209448,0.0001483
132.145,0.446181889308316,0.0001485
131.962,0.447527784531671,0.0001487
132.023,0.447527784531671,0.0001487
132.145,0.447527784531671,0.0001487
132.084,0.447527784531671,0.0001487
132.206,0.447527784531671,0.0001487
132.267,0.447527784531671,0.0001487
132.145,0.448200053464553,0.0001488
131.535,0.452224203764279,0.0001494
130.924,0.456232225161817,0.00015
130.741,0.457564670395596,0.0001502
130.741,0.457564670395596,0.0001502
130.863,0.45823022782449,0.0001503
130.863,0.45823022782449,0.0001503
130.863,0.45823022782449,0.0001503
130.802,0.458895342581301,0.0001504
130.68,0.460224246431355,0.0001506
130.375,0.462214296839365,0.0001509
130.253,0.462876767880486,0.000151
130.253,0.463538800344255,0.0001511
130.009,0.464200394810994,0.0001512
129.826,0.466842404273833,0.0001516
129.154,0.470792376493147,0.0001522
128.849,0.474726807797982,0.0001528
128.605,0.475381044000578,0.0001529
128.483,0.4766882337292,0.0001531
128.422,0.477341188372052,0.0001532
128.239,0.478645819998717,0.0001534
128.056,0.479948751779133,0.0001536
128.117,0.479297498092813,0.0001535
128.178,0.479948751779133,0.0001536
