Tiempo ( s )	T ( K )
35.3000	298.816
35.4000	298.813
35.5000	298.810
35.6000	298.811
35.7000	298.808
35.8000	298.807
35.9000	298.809
36.0000	298.810
36.1000	298.811
36.2000	298.810
36.3000	298.808
36.4000	298.806
36.5000	298.807
36.6000	298.806
36.7000	298.806
36.8000	298.809
36.9000	298.811
37.0000	298.813
37.1000	298.814
37.2000	298.811
37.3000	298.807
37.4000	298.808
37.5000	298.810
37.6000	298.811
37.7000	298.811
37.8000	298.807
37.9000	298.808
38.0000	298.809
38.1000	298.811
38.2000	298.813
38.3000	298.814
38.4000	298.816
