P ( kPa ),lnV,V ( m3 )
142.3990,0.36630751763383,1.37E-04
142.3990,0.367036646357347,1.37E-04
141.7890,0.369947856564805,1.38E-04
140.6900,0.377189017821364,1.39E-04
140.5680,0.378630979138266,1.39E-04
140.5680,0.380070864196253,1.39E-04
139.7750,0.383661532326982,1.40E-04
139.2250,0.387239353674866,1.40E-04
138.7370,0.391515910442126,1.41E-04
138.4930,0.393647349970196,1.41E-04
138.1880,0.39435682144373,1.41E-04
137.7610,0.398603112325181,1.42E-04
137.3330,0.401423988666822,1.42E-04
137.2110,0.402831448434702,1.42E-04
137.0280,0.404236930043437,1.42E-04
136.6620,0.407742016001383,1.43E-04
136.1740,0.411234859231082,1.43E-04
135.7460,0.413324724150541,1.44E-04
135.5020,0.415410230641562,1.44E-04
135.3190,0.417491396845387,1.44E-04
134.9530,0.420259564703,1.45E-04
134.7700,0.421640780392198,1.45E-04
134.8920,0.421640780392198,1.45E-04
134.9530,0.421640780392198,1.45E-04
134.7700,0.423709033456257,1.45E-04
133.9760,0.428518386594302,1.46E-04
133.7320,0.43125623909164,1.46E-04
133.6100,0.431939532592773,1.46E-04
133.3660,0.433986616214498,1.47E-04
133.1830,0.436029517844298,1.47E-04
133.1220,0.436709558672954,1.47E-04
133.2440,0.436709558672954,1.47E-04
133.2440,0.437389137360338,1.47E-04
133.3050,0.436709558672954,1.47E-04
133.3660,0.436709558672954,1.47E-04
133.4880,0.437389137360338,1.47E-04
133.1830,0.438746910820798,1.47E-04
132.5720,0.442809204829677,1.48E-04
132.2670,0.444834180209448,1.48E-04
132.1450,0.446181889308316,1.49E-04
131.9620,0.447527784531671,1.49E-04
132.0230,0.447527784531671,1.49E-04
132.1450,0.447527784531671,1.49E-04
132.0840,0.447527784531671,1.49E-04
132.2060,0.447527784531671,1.49E-04
132.2670,0.447527784531671,1.49E-04
132.1450,0.448200053464553,1.49E-04
131.5350,0.452224203764279,1.49E-04
130.9240,0.456232225161818,1.50E-04
130.7410,0.457564670395596,1.50E-04
130.7410,0.457564670395596,1.50E-04
