Tiempo ( s )	P ( kPa )
35.3000	105.533
35.4000	105.167
35.5000	104.740
35.6000	104.495
35.7000	104.251
35.8000	104.007
35.9000	104.007
36.0000	104.129
36.1000	104.068
36.2000	103.763
36.3000	103.214
36.4000	103.030
36.5000	103.030
36.6000	102.664
36.7000	102.786
36.8000	102.786
36.9000	102.847
37.0000	102.847
37.1000	102.847
37.2000	102.298
37.3000	101.932
37.4000	101.871
37.5000	101.932
37.6000	101.993
37.7000	101.688
37.8000	101.077
37.9000	101.077
38.0000	101.077
38.1000	101.138
38.2000	101.199
38.3000	101.321
38.4000	101.382
